Label,# 样本,平均值,最小值,最大值,标准偏差,异常 %,吞吐量,接收 KB/sec,发送 KB/sec,平均字节数
https://www.redmine.org/login,61,1866,8,11716,2600.14,50.820%,.18830,0.81,0.00,4397.1
https://googleads.g.doubleclick.net/pagead/html/r20190605/r20190131/zrt_lookup.html#,60,283,101,754,172.14,0.000%,.21738,3.64,0.00,17134.6
https://googleads.g.doubleclick.net/pagead/ads,60,534,176,3097,528.04,0.000%,.21568,6.30,0.00,29935.1
https://googleads.g.doubleclick.net/xbbe/pixel,30,118,106,364,45.71,0.000%,.11032,0.07,0.00,672.0
https://tpc.googlesyndication.com/sodar/Enqz_20U.html,30,411,111,1144,260.93,0.000%,.11031,2.51,0.00,23302.0
http://oxwx,30,1490,0,2262,715.04,100.000%,.11050,0.18,0.00,1678.0
"https://pagead2.googlesyndication.com/pagead/s/cookie_push.html#aHR0cHM6Ly9pZC5ybGNkbi5jb20vNDY2NjA2LmdpZj9jcGFyYW1zPWdvb2dsZV9wdXNoJTNEQUhORjEzSkR5Yll2WWFEWjNvVzcxRkctQ1dXUDBKY2RLU1FDeVN5SFBtM1FYa1UmZ29vZ2xlX2dpZD1DQUVTRVBHR0J6cEJWRnh0RERyN3V1N3pDUjAmZ29vZ2xlX2N2ZXI9MQ==,aHR0cHM6Ly9jbS5nLmRvdWJsZWNsaWNrLm5ldC9waXhlbC9hdHRyP2Q9QUhORjEzSkVhWndZSmtaTW9TU29UYVF4dzdTdVNWdXdhSTRq",30,285,92,1386,277.05,0.000%,.10926,0.17,0.00,1619.0
http://axpi,30,1659,0,11276,1940.77,100.000%,.10511,0.17,0.00,1678.0
http://www.redmine.org/projects/redmine/news,20,1847,887,3845,1086.18,0.000%,.10610,1.99,0.00,19178.0
http://googleads.g.doubleclick.net/pagead/html/r20190605/r20190131/zrt_lookup.html#,200,347,58,3936,533.51,0.000%,.66229,11.00,0.00,17014.0
http://googleads.g.doubleclick.net/pagead/ads,220,827,183,3096,514.00,0.000%,.72792,44.86,0.00,63103.8
